iteration	t (millisecond)	n	Ki	Ko	RTF	g_K	E_K	K_conductance	V	i_K	alpha_n	beta_n
0	0	0.324866	90	3	25	36	-85.0299	0.401639	0	34.1513	0.0581977	0.125
1	0.1	0.324734	90	3	25	36	-85.0299	0.400976	0	34.095	0.0581977	0.125
2	0.2	0.324605	90	3	25	36	-85.0299	0.400326	0	34.0397	0.0581977	0.125
3	0.3	0.324478	90	3	25	36	-85.0299	0.399689	0	33.9856	0.0581977	0.125
4	0.4	0.324353	90	3	25	36	-85.0299	0.399065	0	33.9324	0.0581977	0.125
5	0.5	0.324231	90	3	25	36	-85.0299	0.398452	0	33.8803	0.0581977	0.125
6	0.6	0.324111	90	3	25	36	-85.0299	0.397851	0	33.8293	0.0581977	0.125
7	0.7	0.323993	90	3	25	36	-85.0299	0.397262	0	33.7792	0.0581977	0.125
8	0.8	0.323877	90	3	25	36	-85.0299	0.396685	0	33.7301	0.0581977	0.125
9	0.9	0.323764	90	3	25	36	-85.0299	0.396118	0	33.6819	0.0581977	0.125
10	1	0.323652	90	3	25	36	-85.0299	0.395563	0	33.6347	0.0581977	0.125
11	1.1	0.323543	90	3	25	36	-85.0299	0.395018	0	33.5884	0.0581977	0.125
12	1.2	0.323435	90	3	25	36	-85.0299	0.394484	0	33.543	0.0581977	0.125
13	1.3	0.32333	90	3	25	36	-85.0299	0.39396	0	33.4984	0.0581977	0.125
14	1.4	0.323226	90	3	25	36	-85.0299	0.393447	0	33.4547	0.0581977	0.125
15	1.5	0.323125	90	3	25	36	-85.0299	0.392943	0	33.4119	0.0581977	0.125
16	1.6	0.323025	90	3	25	36	-85.0299	0.392449	0	33.3699	0.0581977	0.125
17	1.7	0.322927	90	3	25	36	-85.0299	0.391964	0	33.3287	0.0581977	0.125
18	1.8	0.322831	90	3	25	36	-85.0299	0.391489	0	33.2883	0.0581977	0.125
19	1.9	0.322736	90	3	25	36	-85.0299	0.391022	0	33.2486	0.0581977	0.125
20	2	0.322644	90	3	25	36	-85.0299	0.390565	0	33.2097	0.0581977	0.125
21	2.1	0.322553	90	3	25	36	-85.0299	0.390117	0	33.1716	0.0581977	0.125
22	2.2	0.322463	90	3	25	36	-85.0299	0.389677	0	33.1342	0.0581977	0.125
23	2.3	0.322376	90	3	25	36	-85.0299	0.389245	0	33.0975	0.0581977	0.125
24	2.4	0.32229	90	3	25	36	-85.0299	0.388822	0	33.0615	0.0581977	0.125
25	2.5	0.322205	90	3	25	36	-85.0299	0.388407	0	33.0262	0.0581977	0.125
26	2.6	0.322122	90	3	25	36	-85.0299	0.388	0	32.9916	0.0581977	0.125
27	2.7	0.322041	90	3	25	36	-85.0299	0.387601	0	32.9576	0.0581977	0.125
28	2.8	0.321961	90	3	25	36	-85.0299	0.387209	0	32.9243	0.0581977	0.125
29	2.9	0.321882	90	3	25	36	-85.0299	0.386824	0	32.8917	0.0581977	0.125
30	3	0.321805	90	3	25	36	-85.0299	0.386447	0	32.8596	0.0581977	0.125
31	3.1	0.32173	90	3	25	36	-85.0299	0.386078	0	32.8281	0.0581977	0.125
32	3.2	0.321655	90	3	25	36	-85.0299	0.385715	0	32.7973	0.0581977	0.125
33	3.3	0.321582	90	3	25	36	-85.0299	0.385359	0	32.767	0.0581977	0.125
34	3.4	0.321511	90	3	25	36	-85.0299	0.38501	0	32.7373	0.0581977	0.125
35	3.5	0.321441	90	3	25	36	-85.0299	0.384667	0	32.7082	0.0581977	0.125
36	3.6	0.321372	90	3	25	36	-85.0299	0.384331	0	32.6796	0.0581977	0.125
37	3.7	0.321304	90	3	25	36	-85.0299	0.384001	0	32.6516	0.0581977	0.125
38	3.8	0.321238	90	3	25	36	-85.0299	0.383678	0	32.6241	0.0581977	0.125
39	3.9	0.321172	90	3	25	36	-85.0299	0.383361	0	32.5971	0.0581977	0.125
40	4	0.321108	90	3	25	36	-85.0299	0.383049	0	32.5707	0.0581977	0.125
41	4.1	0.321045	90	3	25	36	-85.0299	0.382744	0	32.5447	0.0581977	0.125
42	4.2	0.320984	90	3	25	36	-85.0299	0.382444	0	32.5192	0.0581977	0.125
43	4.3	0.320923	90	3	25	36	-85.0299	0.38215	0	32.4942	0.0581977	0.125
44	4.4	0.320864	90	3	25	36	-85.0299	0.381862	0	32.4697	0.0581977	0.125
45	4.5	0.320805	90	3	25	36	-85.0299	0.381579	0	32.4456	0.0581977	0.125
46	4.6	0.320748	90	3	25	36	-85.0299	0.381301	0	32.422	0.0581977	0.125
47	4.7	0.320692	90	3	25	36	-85.0299	0.381029	0	32.3989	0.0581977	0.125
48	4.8	0.320636	90	3	25	36	-85.0299	0.380762	0	32.3762	0.0581977	0.125
49	4.9	0.320582	90	3	25	36	-85.0299	0.3805	0	32.3539	0.0581977	0.125
50	5	0.370182	90	3	25	36	-85.0299	0.380242	-85	32.332	0.750415	0.0431988
51	5.1	0.415845	90	3	25	36	-85.0299	0.676026	-85	0.0202365	0.750415	0.0431988
52	5.2	0.457885	90	3	25	36	-85.0299	1.07654	-85	0.0322257	0.750415	0.0431988
